FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- FFF-Verify Batch Feeder To Rdbms
FFFFEED 2016/05/26 18:10:55 -I- ----------------------------------------------
FFFFEED 2016/05/26 18:10:55 -I- Start.
FFFFEED 2016/05/26 18:10:55 -I- *** Version:  V4.5.5.0 / 25/05/2016 10:01:02
FFFFEED 2016/05/26 18:10:55 -I- *** Platform: WIN32 / TCPIP/SOCKET
FFFFEED 2016/05/26 18:10:55 -I- 63 (hits) 46 (records)
FFFFEED 2016/05/26 18:10:55 -I- 64 (hits) 46 (records)
FFFFEED 2016/05/26 18:10:55 -I- 65 (hits) 46 (records)
FFFFEED 2016/05/26 18:10:55 -I- 66 (hits) 46 (records)
FFFFEED 2016/05/26 18:10:55 -I- 67 (hits) 46 (records)
FFFFEED 2016/05/26 18:10:55 -I- 68 (hits) 46 (records)
FFFFEED 2016/05/26 18:10:55 -I- 69 (hits) 47 (records)
FFFFEED 2016/05/26 18:10:55 -I- 70 (hits) 48 (records)
FFFFEED 2016/05/26 18:10:55 -I- 71 (hits) 49 (records)
FFFFEED 2016/05/26 18:10:55 -I- 72 (hits) 50 (records)
FFFFEED 2016/05/26 18:10:55 -I- 73 (hits) 51 (records)
FFFFEED 2016/05/26 18:10:55 -I- 74 (hits) 52 (records)
FFFFEED 2016/05/26 18:10:55 -I- 75 (hits) 53 (records)
FFFFEED 2016/05/26 18:10:55 -I- 76 (hits) 54 (records)
FFFFEED 2016/05/26 18:10:55 -I- 77 (hits) 55 (records)
FFFFEED 2016/05/26 18:10:55 -I- 78 (hits) 56 (records)
FFFFEED 2016/05/26 18:10:55 -I- 79 (hits) 57 (records)
FFFFEED 2016/05/26 18:10:55 -I- 80 (hits) 57 (records)
FFFFEED 2016/05/26 18:10:55 -I- 81 (hits) 57 (records)
FFFFEED 2016/05/26 18:10:55 -I- 82 (hits) 57 (records)
FFFFEED 2016/05/26 18:10:55 -I- 83 (hits) 57 (records)
FFFFEED 2016/05/26 18:10:55 -I- 84 (hits) 57 (records)
FFFFEED 2016/05/26 18:10:55 -I- 85 (hits) 58 (records)
FFFFEED 2016/05/26 18:10:55 -I- 86 (hits) 58 (records)
FFFFEED 2016/05/26 18:10:55 -I- 87 (hits) 59 (records)
FFFFEED 2016/05/26 18:10:55 -I- 88 (hits) 60 (records)
FFFFEED 2016/05/26 18:10:55 -I- 89 (hits) 60 (records)
FFFFEED 2016/05/26 18:10:55 -I- 90 (hits) 60 (records)
FFFFEED 2016/05/26 18:10:55 -I- 91 (hits) 61 (records)
FFFFEED 2016/05/26 18:10:55 -I- 92 (hits) 62 (records)
FFFFEED 2016/05/26 18:10:55 -I- 93 (hits) 63 (records)
FFFFEED 2016/05/26 18:10:55 -I- 94 (hits) 64 (records)
FFFFEED 2016/05/26 18:10:55 -I- 95 (hits) 65 (records)
FFFFEED 2016/05/26 18:10:55 -I- 96 (hits) 65 (records)
FFFFEED 2016/05/26 18:10:55 -I- 97 (hits) 65 (records)
